pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
375,"{""icon"": ""cff66ff""}",base,182-?,?,Not known,,90,2,
376,"{""icon"": ""c000000""}",base,183-1,1,present,,91,1,
377,"{""icon"": ""c990099""}",base,183-0,0,absent,,91,0,
378,"{""icon"": ""ccccccc""}",base,183-N/A,N/A,Not Applicable,,91,3,
379,"{""icon"": ""cff66ff""}",base,183-?,?,Not known,,91,2,
380,"{""icon"": ""c000000""}",base,184-1,1,present,,92,1,
381,"{""icon"": ""c990099""}",base,184-0,0,absent,,92,0,
382,"{""icon"": ""ccccccc""}",base,184-N/A,N/A,Not Applicable,,92,3,
383,"{""icon"": ""cff66ff""}",base,184-?,?,Not known,,92,2,
384,"{""icon"": ""c000000""}",base,185-1,1,present,,93,1,
385,"{""icon"": ""c990099""}",base,185-0,0,absent,,93,0,
386,"{""icon"": ""ccccccc""}",base,185-N/A,N/A,Not Applicable,,93,3,
387,"{""icon"": ""cff66ff""}",base,185-?,?,Not known,,93,2,
388,"{""icon"": ""c000000""}",base,186-1,1,present,,94,1,
389,"{""icon"": ""c990099""}",base,186-0,0,absent,,94,0,
390,"{""icon"": ""ccccccc""}",base,186-N/A,N/A,Not Applicable,,94,3,
391,"{""icon"": ""cff66ff""}",base,186-?,?,Not known,,94,2,
392,"{""icon"": ""c000000""}",base,187-1,1,present,,95,1,
393,"{""icon"": ""c990099""}",base,187-0,0,absent,,95,0,
394,"{""icon"": ""ccccccc""}",base,187-N/A,N/A,Not Applicable,,95,3,
395,"{""icon"": ""cff66ff""}",base,187-?,?,Not known,,95,2,
396,"{""icon"": ""c000000""}",base,188-1,1,present,,96,1,
397,"{""icon"": ""c990099""}",base,188-0,0,absent,,96,0,
398,"{""icon"": ""ccccccc""}",base,188-N/A,N/A,Not Applicable,,96,3,
399,"{""icon"": ""cff66ff""}",base,188-?,?,Not known,,96,2,
400,"{""icon"": ""c000000""}",base,19-1,1,present,,97,1,
401,"{""icon"": ""c9999ff""}",base,19-0,0,absent,,97,0,
402,"{""icon"": ""cff4400""}",base,19-?,?,Not known,,97,2,
403,"{""icon"": ""c000000""}",base,191-1,1,present,,98,1,
404,"{""icon"": ""c990099""}",base,191-0,0,absent,,98,0,
405,"{""icon"": ""ccccccc""}",base,191-N/A,N/A,Not Applicable,,98,3,
406,"{""icon"": ""cff66ff""}",base,191-?,?,Not known,,98,2,
407,"{""icon"": ""c000000""}",base,192-1,1,present,,99,1,
408,"{""icon"": ""c990099""}",base,192-0,0,absent,,99,0,
409,"{""icon"": ""ccccccc""}",base,192-N/A,N/A,Not Applicable,,99,3,
410,"{""icon"": ""cff66ff""}",base,192-?,?,Not known,,99,2,
411,"{""icon"": ""c000000""}",base,193-N/A,N/A,Not Applicable,,100,5,
412,"{""icon"": ""c009900""}",base,193-1,1,ANM-N,,100,1,
413,"{""icon"": ""c990099""}",base,193-0,0,there are no ANM,,100,0,
414,"{""icon"": ""c99ffff""}",base,193-3,3,Both,,100,3,
415,"{""icon"": ""ccccccc""}",base,193-2,2,N-ANM,,100,2,
416,"{""icon"": ""cff4400""}",base,193-?,?,Not known,,100,4,
417,"{""icon"": ""c000000""}",base,194-1,1,present,,101,1,
418,"{""icon"": ""c990099""}",base,194-0,0,absent,,101,0,
419,"{""icon"": ""ccccccc""}",base,194-N/A,N/A,Not Applicable,,101,3,
420,"{""icon"": ""cff66ff""}",base,194-?,?,Not known,,101,2,
421,"{""icon"": ""c000000""}",base,195-1,1,present,,102,1,
422,"{""icon"": ""c990099""}",base,195-0,0,absent,,102,0,
423,"{""icon"": ""ccccccc""}",base,195-N/A,N/A,Not Applicable,,102,3,
424,"{""icon"": ""cff66ff""}",base,195-?,?,Not known,,102,2,
425,"{""icon"": ""c000000""}",base,196-1,1,present,,103,1,
426,"{""icon"": ""c990099""}",base,196-0,0,absent,,103,0,
427,"{""icon"": ""ccccccc""}",base,196-N/A,N/A,Not Applicable,,103,3,
428,"{""icon"": ""cff66ff""}",base,196-?,?,Not known,,103,2,
429,"{""icon"": ""c000000""}",base,197-1,1,present,,104,1,
430,"{""icon"": ""c990099""}",base,197-0,0,absent,,104,0,
431,"{""icon"": ""ccccccc""}",base,197-N/A,N/A,Not Applicable,,104,3,
432,"{""icon"": ""cff66ff""}",base,197-?,?,Not known,,104,2,
433,"{""icon"": ""c000000""}",base,198-1,1,present,,105,1,
434,"{""icon"": ""c990099""}",base,198-0,0,absent,,105,0,
435,"{""icon"": ""ccccccc""}",base,198-N/A,N/A,Not Applicable,,105,3,
436,"{""icon"": ""cff66ff""}",base,198-?,?,Not known,,105,2,
437,"{""icon"": ""c000000""}",base,199-1,1,present,,106,1,
438,"{""icon"": ""c990099""}",base,199-0,0,absent,,106,0,
439,"{""icon"": ""ccccccc""}",base,199-N/A,N/A,Not Applicable,,106,3,
440,"{""icon"": ""cff66ff""}",base,199-?,?,Not known,,106,2,
441,"{""icon"": ""c000000""}",base,2-1,1,present,,107,1,
442,"{""icon"": ""c9999ff""}",base,2-0,0,absent,,107,0,
443,"{""icon"": ""cff4400""}",base,2-?,?,Not known,,107,2,
444,"{""icon"": ""c000000""}",base,20-1,1,present,,108,1,
445,"{""icon"": ""c990099""}",base,20-0,0,absent,,108,0,
446,"{""icon"": ""ccccccc""}",base,20-N/A,N/A,Not Applicable,,108,3,
447,"{""icon"": ""cff66ff""}",base,20-?,?,Not known,,108,2,
448,"{""icon"": ""c000000""}",base,200-1,1,present,,109,1,
449,"{""icon"": ""c990099""}",base,200-0,0,absent,,109,0,
450,"{""icon"": ""ccccccc""}",base,200-N/A,N/A,Not Applicable,,109,3,
451,"{""icon"": ""cff66ff""}",base,200-?,?,Not known,,109,2,
452,"{""icon"": ""c000000""}",base,202-1,1,present,,110,1,
453,"{""icon"": ""c990099""}",base,202-0,0,absent,,110,0,
454,"{""icon"": ""ccccccc""}",base,202-N/A,N/A,Not Applicable,,110,3,
455,"{""icon"": ""cff66ff""}",base,202-?,?,Not known,,110,2,
456,"{""icon"": ""c000000""}",base,203-1,1,Dem-N,,111,0,
457,"{""icon"": ""c66ff33""}",base,203-3,3,both,,111,2,
458,"{""icon"": ""c99ffff""}",base,203-2,2,N-Dem,,111,1,
459,"{""icon"": ""cdd0000""}",base,203-N/A,N/A,Not Applicable,,111,4,
460,"{""icon"": ""cff66ff""}",base,203-?,?,Not known,,111,3,
461,"{""icon"": ""c000000""}",base,204-1,1,present,,112,1,
462,"{""icon"": ""c990099""}",base,204-0,0,absent,,112,0,
463,"{""icon"": ""ccccccc""}",base,204-N/A,N/A,Not Applicable,,112,3,
464,"{""icon"": ""cff66ff""}",base,204-?,?,Not known,,112,2,
465,"{""icon"": ""c000000""}",base,205-1,1,present,,113,1,
466,"{""icon"": ""c990099""}",base,205-0,0,absent,,113,0,
467,"{""icon"": ""ccccccc""}",base,205-N/A,N/A,Not Applicable,,113,3,
468,"{""icon"": ""cff66ff""}",base,205-?,?,Not known,,113,2,
469,"{""icon"": ""c000000""}",base,206-1,1,present,,114,1,
470,"{""icon"": ""c990099""}",base,206-0,0,absent,,114,0,
471,"{""icon"": ""ccccccc""}",base,206-N/A,N/A,Not Applicable,,114,3,
472,"{""icon"": ""cff66ff""}",base,206-?,?,Not known,,114,2,
473,"{""icon"": ""c000000""}",base,207-1,1,present,,115,1,
474,"{""icon"": ""c990099""}",base,207-0,0,absent,,115,0,
475,"{""icon"": ""ccccccc""}",base,207-N/A,N/A,Not Applicable,,115,3,
476,"{""icon"": ""cff66ff""}",base,207-?,?,Not known,,115,2,
477,"{""icon"": ""c000000""}",base,208-1,1,present,,116,1,
478,"{""icon"": ""c990099""}",base,208-0,0,absent,,116,0,
479,"{""icon"": ""ccccccc""}",base,208-N/A,N/A,Not Applicable,,116,3,
480,"{""icon"": ""cff66ff""}",base,208-?,?,Not known,,116,2,
481,"{""icon"": ""c000000""}",base,209-1,1,present,,117,1,
482,"{""icon"": ""c990099""}",base,209-0,0,absent,,117,0,
483,"{""icon"": ""ccccccc""}",base,209-N/A,N/A,Not Applicable,,117,3,
484,"{""icon"": ""cff66ff""}",base,209-?,?,Not known,,117,2,
485,"{""icon"": ""c000000""}",base,21-1,1,present,,118,1,
486,"{""icon"": ""c990099""}",base,21-0,0,absent,,118,0,
487,"{""icon"": ""ccccccc""}",base,21-N/A,N/A,Not Applicable,,118,3,
488,"{""icon"": ""cff66ff""}",base,21-?,?,Not known,,118,2,
489,"{""icon"": ""c000000""}",base,210-1,1,present,,119,1,
490,"{""icon"": ""c990099""}",base,210-0,0,absent,,119,0,
491,"{""icon"": ""ccccccc""}",base,210-N/A,N/A,Not Applicable,,119,3,
492,"{""icon"": ""cff66ff""}",base,210-?,?,Not known,,119,2,
493,"{""icon"": ""c000000""}",base,211-1,1,present,,120,1,
494,"{""icon"": ""c990099""}",base,211-0,0,absent,,120,0,
495,"{""icon"": ""ccccccc""}",base,211-N/A,N/A,Not Applicable,,120,3,
496,"{""icon"": ""cff66ff""}",base,211-?,?,Not known,,120,2,
497,"{""icon"": ""c000000""}",base,212-1,1,present,,121,1,
498,"{""icon"": ""c990099""}",base,212-0,0,absent,,121,0,
499,"{""icon"": ""ccccccc""}",base,212-N/A,N/A,Not Applicable,,121,3,
500,"{""icon"": ""cff66ff""}",base,212-?,?,Not known,,121,2,
501,"{""icon"": ""c000000""}",base,213-1,1,present,,122,1,
502,"{""icon"": ""c990099""}",base,213-0,0,absent,,122,0,
503,"{""icon"": ""ccccccc""}",base,213-N/A,N/A,Not Applicable,,122,3,
504,"{""icon"": ""cff66ff""}",base,213-?,?,Not known,,122,2,
505,"{""icon"": ""c000000""}",base,214-1,1,present,,123,1,
506,"{""icon"": ""c990099""}",base,214-0,0,absent,,123,0,
507,"{""icon"": ""ccccccc""}",base,214-N/A,N/A,Not Applicable,,123,3,
508,"{""icon"": ""cff66ff""}",base,214-?,?,Not known,,123,2,
509,"{""icon"": ""c000000""}",base,215-1,1,present,,124,1,
510,"{""icon"": ""c990099""}",base,215-0,0,absent,,124,0,
511,"{""icon"": ""ccccccc""}",base,215-N/A,N/A,Not Applicable,,124,3,
512,"{""icon"": ""cff66ff""}",base,215-?,?,Not known,,124,2,
513,"{""icon"": ""c000000""}",base,216-1,1,present,,125,1,
514,"{""icon"": ""c990099""}",base,216-0,0,absent,,125,0,
515,"{""icon"": ""ccccccc""}",base,216-N/A,N/A,Not Applicable,,125,3,
516,"{""icon"": ""cff66ff""}",base,216-?,?,Not known,,125,2,
517,"{""icon"": ""c000000""}",base,217-1,1,present,,126,1,
518,"{""icon"": ""c990099""}",base,217-0,0,absent,,126,0,
519,"{""icon"": ""ccccccc""}",base,217-N/A,N/A,Not Applicable,,126,3,
520,"{""icon"": ""cff66ff""}",base,217-?,?,Not known,,126,2,
521,"{""icon"": ""c000000""}",base,218-1,1,present,,127,1,
522,"{""icon"": ""c990099""}",base,218-0,0,absent,,127,0,
523,"{""icon"": ""ccccccc""}",base,218-N/A,N/A,Not Applicable,,127,3,
524,"{""icon"": ""cff66ff""}",base,218-?,?,Not known,,127,2,
525,"{""icon"": ""c000000""}",base,219-1,1,present,,128,1,
526,"{""icon"": ""c990099""}",base,219-0,0,absent,,128,0,
527,"{""icon"": ""ccccccc""}",base,219-N/A,N/A,Not Applicable,,128,3,
528,"{""icon"": ""cff66ff""}",base,219-?,?,Not known,,128,2,
529,"{""icon"": ""c000000""}",base,22-1,1,present,,129,1,
530,"{""icon"": ""c990099""}",base,22-0,0,absent,,129,0,
531,"{""icon"": ""ccccccc""}",base,22-N/A,N/A,Not Applicable,,129,3,
532,"{""icon"": ""cff66ff""}",base,22-?,?,Not known,,129,2,
533,"{""icon"": ""c000000""}",base,220-1,1,present,,130,1,
534,"{""icon"": ""c990099""}",base,220-0,0,absent,,130,0,
535,"{""icon"": ""ccccccc""}",base,220-N/A,N/A,Not Applicable,,130,3,
536,"{""icon"": ""cff66ff""}",base,220-?,?,Not known,,130,2,
537,"{""icon"": ""c000000""}",base,221-1,1,present,,131,1,
538,"{""icon"": ""c990099""}",base,221-0,0,absent,,131,0,
539,"{""icon"": ""ccccccc""}",base,221-N/A,N/A,Not Applicable,,131,3,
540,"{""icon"": ""cff66ff""}",base,221-?,?,Not known,,131,2,
541,"{""icon"": ""c000000""}",base,222-1,1,present,,132,1,
542,"{""icon"": ""c990099""}",base,222-0,0,absent,,132,0,
543,"{""icon"": ""ccccccc""}",base,222-N/A,N/A,Not Applicable,,132,3,
544,"{""icon"": ""cff66ff""}",base,222-?,?,Not known,,132,2,
545,"{""icon"": ""c000000""}",base,223-1,1,present,,133,1,
546,"{""icon"": ""c990099""}",base,223-0,0,absent,,133,0,
547,"{""icon"": ""ccccccc""}",base,223-N/A,N/A,Not Applicable,,133,3,
548,"{""icon"": ""cff66ff""}",base,223-?,?,Not known,,133,2,
549,"{""icon"": ""c000000""}",base,224-1,1,present,,134,1,
550,"{""icon"": ""c990099""}",base,224-0,0,absent,,134,0,
551,"{""icon"": ""ccccccc""}",base,224-N/A,N/A,Not Applicable,,134,3,
552,"{""icon"": ""cff66ff""}",base,224-?,?,Not known,,134,2,
553,"{""icon"": ""c000000""}",base,225-1,1,present,,135,1,
554,"{""icon"": ""c990099""}",base,225-0,0,absent,,135,0,
555,"{""icon"": ""ccccccc""}",base,225-N/A,N/A,Not Applicable,,135,3,
556,"{""icon"": ""cff66ff""}",base,225-?,?,Not known,,135,2,
557,"{""icon"": ""c000000""}",base,226-1,1,present,,136,1,
558,"{""icon"": ""c990099""}",base,226-0,0,absent,,136,0,
559,"{""icon"": ""ccccccc""}",base,226-N/A,N/A,Not Applicable,,136,3,
560,"{""icon"": ""cff66ff""}",base,226-?,?,Not known,,136,2,
561,"{""icon"": ""c000000""}",base,227-1,1,present,,137,1,
562,"{""icon"": ""c990099""}",base,227-0,0,absent,,137,0,
563,"{""icon"": ""ccccccc""}",base,227-N/A,N/A,Not Applicable,,137,3,
564,"{""icon"": ""cff66ff""}",base,227-?,?,Not known,,137,2,
565,"{""icon"": ""c000000""}",base,228-1,1,present,,138,1,
566,"{""icon"": ""c990099""}",base,228-0,0,absent,,138,0,
567,"{""icon"": ""ccccccc""}",base,228-N/A,N/A,Not Applicable,,138,3,
568,"{""icon"": ""cff66ff""}",base,228-?,?,Not known,,138,2,
569,"{""icon"": ""c000000""}",base,229-1,1,present,,139,1,
570,"{""icon"": ""c990099""}",base,229-0,0,absent,,139,0,
571,"{""icon"": ""ccccccc""}",base,229-N/A,N/A,Not Applicable,,139,3,
572,"{""icon"": ""cff66ff""}",base,229-?,?,Not known,,139,2,
573,"{""icon"": ""c000000""}",base,23-1,1,present,,140,1,
574,"{""icon"": ""c990099""}",base,23-0,0,absent,,140,0,
575,"{""icon"": ""ccccccc""}",base,23-N/A,N/A,Not Applicable,,140,3,
576,"{""icon"": ""cff66ff""}",base,23-?,?,Not known,,140,2,
577,"{""icon"": ""c000000""}",base,230-1,1,present,,141,1,
578,"{""icon"": ""c990099""}",base,230-0,0,absent,,141,0,
579,"{""icon"": ""ccccccc""}",base,230-N/A,N/A,Not Applicable,,141,3,
580,"{""icon"": ""cff66ff""}",base,230-?,?,Not known,,141,2,
581,"{""icon"": ""c000000""}",base,231-1,1,present,,142,1,
582,"{""icon"": ""c990099""}",base,231-0,0,absent,,142,0,
583,"{""icon"": ""ccccccc""}",base,231-N/A,N/A,Not Applicable,,142,3,
584,"{""icon"": ""cff66ff""}",base,231-?,?,Not known,,142,2,
585,"{""icon"": ""c000000""}",base,232-1,1,present,,143,1,
586,"{""icon"": ""c990099""}",base,232-0,0,absent,,143,0,
587,"{""icon"": ""ccccccc""}",base,232-N/A,N/A,Not Applicable,,143,3,
588,"{""icon"": ""cff66ff""}",base,232-?,?,Not known,,143,2,
589,"{""icon"": ""c000000""}",base,234-1,1,present,,144,1,
590,"{""icon"": ""c990099""}",base,234-0,0,absent,,144,0,
591,"{""icon"": ""ccccccc""}",base,234-N/A,N/A,Not Applicable,,144,3,
592,"{""icon"": ""cff66ff""}",base,234-?,?,Not known,,144,2,
593,"{""icon"": ""c000000""}",base,235-1,1,present,,145,1,
594,"{""icon"": ""c990099""}",base,235-0,0,absent,,145,0,
595,"{""icon"": ""ccccccc""}",base,235-N/A,N/A,Not Applicable,,145,3,
596,"{""icon"": ""cff66ff""}",base,235-?,?,Not known,,145,2,
597,"{""icon"": ""c000000""}",base,236-1,1,present,,146,1,
598,"{""icon"": ""c990099""}",base,236-0,0,absent,,146,0,
599,"{""icon"": ""ccccccc""}",base,236-N/A,N/A,Not Applicable,,146,3,
600,"{""icon"": ""cff66ff""}",base,236-?,?,Not known,,146,2,
601,"{""icon"": ""c000000""}",base,237-1,1,present,,147,1,
602,"{""icon"": ""c990099""}",base,237-0,0,absent,,147,0,
603,"{""icon"": ""ccccccc""}",base,237-N/A,N/A,Not Applicable,,147,3,
604,"{""icon"": ""cff66ff""}",base,237-?,?,Not known,,147,2,
605,"{""icon"": ""c000000""}",base,238-1,1,present,,148,1,
606,"{""icon"": ""c990099""}",base,238-0,0,absent,,148,0,
607,"{""icon"": ""ccccccc""}",base,238-N/A,N/A,Not Applicable,,148,3,
608,"{""icon"": ""cff66ff""}",base,238-?,?,Not known,,148,2,
609,"{""icon"": ""c000000""}",base,239-1,1,present,,149,1,
610,"{""icon"": ""c990099""}",base,239-0,0,absent,,149,0,
611,"{""icon"": ""ccccccc""}",base,239-N/A,N/A,Not Applicable,,149,3,
612,"{""icon"": ""cff66ff""}",base,239-?,?,Not known,,149,2,
613,"{""icon"": ""c000000""}",base,24-1,1,Num-N,,150,0,
614,"{""icon"": ""c66ff33""}",base,24-3,3,both,,150,2,
615,"{""icon"": ""c99ffff""}",base,24-2,2,N-Num,,150,1,
616,"{""icon"": ""cdd0000""}",base,24-N/A,N/A,Not Applicable,,150,4,
617,"{""icon"": ""cff66ff""}",base,24-?,?,Not known,,150,3,
618,"{""icon"": ""c000000""}",base,240-1,1,present,,151,1,
619,"{""icon"": ""c990099""}",base,240-0,0,absent,,151,0,
620,"{""icon"": ""ccccccc""}",base,240-N/A,N/A,Not Applicable,,151,3,
621,"{""icon"": ""cff66ff""}",base,240-?,?,Not known,,151,2,
622,"{""icon"": ""c000000""}",base,241-1,1,present,,152,1,
623,"{""icon"": ""c990099""}",base,241-0,0,absent,,152,0,
624,"{""icon"": ""ccccccc""}",base,241-N/A,N/A,Not Applicable,,152,3,
625,"{""icon"": ""cff66ff""}",base,241-?,?,Not known,,152,2,
626,"{""icon"": ""c000000""}",base,242-1,1,present,,153,1,
627,"{""icon"": ""c990099""}",base,242-0,0,absent,,153,0,
628,"{""icon"": ""ccccccc""}",base,242-N/A,N/A,Not Applicable,,153,3,
629,"{""icon"": ""cff66ff""}",base,242-?,?,Not known,,153,2,
630,"{""icon"": ""c000000""}",base,243-1,1,present,,154,1,
631,"{""icon"": ""c990099""}",base,243-0,0,absent,,154,0,
632,"{""icon"": ""ccccccc""}",base,243-N/A,N/A,Not Applicable,,154,3,
633,"{""icon"": ""cff66ff""}",base,243-?,?,Not known,,154,2,
634,"{""icon"": ""c000000""}",base,244-1,1,present,,155,1,
635,"{""icon"": ""c990099""}",base,244-0,0,absent,,155,0,
636,"{""icon"": ""ccccccc""}",base,244-N/A,N/A,Not Applicable,,155,3,
637,"{""icon"": ""cff66ff""}",base,244-?,?,Not known,,155,2,
638,"{""icon"": ""c000000""}",base,245-1,1,present,,156,1,
639,"{""icon"": ""c990099""}",base,245-0,0,absent,,156,0,
640,"{""icon"": ""ccccccc""}",base,245-N/A,N/A,Not Applicable,,156,3,
641,"{""icon"": ""cff66ff""}",base,245-?,?,Not known,,156,2,
642,"{""icon"": ""c000000""}",base,246-1,1,present,,157,1,
643,"{""icon"": ""c990099""}",base,246-0,0,absent,,157,0,
644,"{""icon"": ""ccccccc""}",base,246-N/A,N/A,Not Applicable,,157,3,
645,"{""icon"": ""cff66ff""}",base,246-?,?,Not known,,157,2,
646,"{""icon"": ""c000000""}",base,247-1,1,present,,158,1,
647,"{""icon"": ""c990099""}",base,247-0,0,absent,,158,0,
648,"{""icon"": ""ccccccc""}",base,247-N/A,N/A,Not Applicable,,158,3,
649,"{""icon"": ""cff66ff""}",base,247-?,?,Not known,,158,2,
650,"{""icon"": ""c000000""}",base,248-1,1,present,,159,1,
651,"{""icon"": ""c990099""}",base,248-0,0,absent,,159,0,
652,"{""icon"": ""ccccccc""}",base,248-N/A,N/A,Not Applicable,,159,3,
653,"{""icon"": ""cff66ff""}",base,248-?,?,Not known,,159,2,
654,"{""icon"": ""c000000""}",base,249-1,1,present,,160,1,
655,"{""icon"": ""c990099""}",base,249-0,0,absent,,160,0,
656,"{""icon"": ""ccccccc""}",base,249-N/A,N/A,Not Applicable,,160,3,
657,"{""icon"": ""cff66ff""}",base,249-?,?,Not known,,160,2,
658,"{""icon"": ""c000000""}",base,25-1,1,Dem-N,,161,0,
659,"{""icon"": ""c66ff33""}",base,25-3,3,both,,161,2,
660,"{""icon"": ""c99ffff""}",base,25-2,2,N-Dem,,161,1,
661,"{""icon"": ""cdd0000""}",base,25-N/A,N/A,Not Applicable,,161,4,
662,"{""icon"": ""cff66ff""}",base,25-?,?,Not known,,161,3,
663,"{""icon"": ""c000000""}",base,250-1,1,present,,162,1,
664,"{""icon"": ""c990099""}",base,250-0,0,absent,,162,0,
665,"{""icon"": ""ccccccc""}",base,250-N/A,N/A,Not Applicable,,162,3,
666,"{""icon"": ""cff66ff""}",base,250-?,?,Not known,,162,2,
667,"{""icon"": ""c000000""}",base,251-1,1,present,,163,1,
668,"{""icon"": ""c990099""}",base,251-0,0,absent,,163,0,
669,"{""icon"": ""ccccccc""}",base,251-N/A,N/A,Not Applicable,,163,3,
670,"{""icon"": ""cff66ff""}",base,251-?,?,Not known,,163,2,
671,"{""icon"": ""c000000""}",base,252-1,1,present,,164,1,
672,"{""icon"": ""c990099""}",base,252-0,0,absent,,164,0,
673,"{""icon"": ""ccccccc""}",base,252-N/A,N/A,Not Applicable,,164,3,
674,"{""icon"": ""cff66ff""}",base,252-?,?,Not known,,164,2,
675,"{""icon"": ""c000000""}",base,253-1,1,present,,165,1,
676,"{""icon"": ""c990099""}",base,253-0,0,absent,,165,0,
677,"{""icon"": ""ccccccc""}",base,253-N/A,N/A,Not Applicable,,165,3,
678,"{""icon"": ""cff66ff""}",base,253-?,?,Not known,,165,2,
679,"{""icon"": ""c000000""}",base,254-1,1,present,,166,1,
680,"{""icon"": ""c990099""}",base,254-0,0,absent,,166,0,
681,"{""icon"": ""ccccccc""}",base,254-N/A,N/A,Not Applicable,,166,3,
682,"{""icon"": ""cff66ff""}",base,254-?,?,Not known,,166,2,
683,"{""icon"": ""c000000""}",base,255-1,1,present,,167,1,
684,"{""icon"": ""c990099""}",base,255-0,0,absent,,167,0,
685,"{""icon"": ""ccccccc""}",base,255-N/A,N/A,Not Applicable,,167,3,
686,"{""icon"": ""cff66ff""}",base,255-?,?,Not known,,167,2,
687,"{""icon"": ""c000000""}",base,256-1,1,present,,168,1,
688,"{""icon"": ""c990099""}",base,256-0,0,absent,,168,0,
689,"{""icon"": ""ccccccc""}",base,256-N/A,N/A,Not Applicable,,168,3,
690,"{""icon"": ""cff66ff""}",base,256-?,?,Not known,,168,2,
691,"{""icon"": ""c000000""}",base,257-1,1,present,,169,1,
692,"{""icon"": ""c990099""}",base,257-0,0,absent,,169,0,
693,"{""icon"": ""ccccccc""}",base,257-N/A,N/A,Not Applicable,,169,3,
694,"{""icon"": ""cff66ff""}",base,257-?,?,Not known,,169,2,
695,"{""icon"": ""c000000""}",base,258-1,1,present,,170,1,
696,"{""icon"": ""c990099""}",base,258-0,0,absent,,170,0,
697,"{""icon"": ""ccccccc""}",base,258-N/A,N/A,Not Applicable,,170,3,
698,"{""icon"": ""cff66ff""}",base,258-?,?,Not known,,170,2,
699,"{""icon"": ""c000000""}",base,259-1,1,present,,171,1,
700,"{""icon"": ""c990099""}",base,259-0,0,absent,,171,0,
701,"{""icon"": ""ccccccc""}",base,259-N/A,N/A,Not Applicable,,171,3,
702,"{""icon"": ""cff66ff""}",base,259-?,?,Not known,,171,2,
703,"{""icon"": ""c000000""}",base,26-1,1,present,,172,1,
704,"{""icon"": ""c990099""}",base,26-0,0,absent,,172,0,
705,"{""icon"": ""ccccccc""}",base,26-N/A,N/A,Not Applicable,,172,3,
706,"{""icon"": ""cff66ff""}",base,26-?,?,Not known,,172,2,
707,"{""icon"": ""c000000""}",base,260-1,1,present,,173,1,
708,"{""icon"": ""c990099""}",base,260-0,0,absent,,173,0,
709,"{""icon"": ""ccccccc""}",base,260-N/A,N/A,Not Applicable,,173,3,
710,"{""icon"": ""cff66ff""}",base,260-?,?,Not known,,173,2,
711,"{""icon"": ""c000000""}",base,261-1,1,present,,174,1,
712,"{""icon"": ""c990099""}",base,261-0,0,absent,,174,0,
713,"{""icon"": ""ccccccc""}",base,261-N/A,N/A,Not Applicable,,174,3,
714,"{""icon"": ""cff66ff""}",base,261-?,?,Not known,,174,2,
715,"{""icon"": ""c000000""}",base,262-1,1,present,,175,1,
716,"{""icon"": ""c990099""}",base,262-0,0,absent,,175,0,
717,"{""icon"": ""ccccccc""}",base,262-N/A,N/A,Not Applicable,,175,3,
718,"{""icon"": ""cff66ff""}",base,262-?,?,Not known,,175,2,
719,"{""icon"": ""c000000""}",base,263-1,1,present,,176,1,
720,"{""icon"": ""c990099""}",base,263-0,0,absent,,176,0,
721,"{""icon"": ""ccccccc""}",base,263-N/A,N/A,Not Applicable,,176,3,
722,"{""icon"": ""cff66ff""}",base,263-?,?,Not known,,176,2,
723,"{""icon"": ""c000000""}",base,264-1,1,present,,177,1,
724,"{""icon"": ""c990099""}",base,264-0,0,absent,,177,0,
725,"{""icon"": ""ccccccc""}",base,264-N/A,N/A,Not Applicable,,177,3,
726,"{""icon"": ""cff66ff""}",base,264-?,?,Not known,,177,2,
727,"{""icon"": ""c000000""}",base,265-1,1,present,,178,1,
728,"{""icon"": ""c990099""}",base,265-0,0,absent,,178,0,
729,"{""icon"": ""ccccccc""}",base,265-N/A,N/A,Not Applicable,,178,3,
730,"{""icon"": ""cff66ff""}",base,265-?,?,Not known,,178,2,
731,"{""icon"": ""c000000""}",base,266-1,1,present,,179,1,
732,"{""icon"": ""c990099""}",base,266-0,0,absent,,179,0,
733,"{""icon"": ""ccccccc""}",base,266-N/A,N/A,Not Applicable,,179,3,
734,"{""icon"": ""cff66ff""}",base,266-?,?,Not known,,179,2,
735,"{""icon"": ""c000000""}",base,267-1,1,present,,180,1,
736,"{""icon"": ""c990099""}",base,267-0,0,absent,,180,0,
737,"{""icon"": ""ccccccc""}",base,267-N/A,N/A,Not Applicable,,180,3,
738,"{""icon"": ""cff66ff""}",base,267-?,?,Not known,,180,2,
739,"{""icon"": ""c000000""}",base,268-1,1,present,,181,1,
740,"{""icon"": ""c990099""}",base,268-0,0,absent,,181,0,
741,"{""icon"": ""ccccccc""}",base,268-N/A,N/A,Not Applicable,,181,3,
742,"{""icon"": ""cff66ff""}",base,268-?,?,Not known,,181,2,
743,"{""icon"": ""c000000""}",base,269-1,1,present,,182,1,
744,"{""icon"": ""c990099""}",base,269-0,0,absent,,182,0,
745,"{""icon"": ""ccccccc""}",base,269-N/A,N/A,Not Applicable,,182,3,
746,"{""icon"": ""cff66ff""}",base,269-?,?,Not known,,182,2,
747,"{""icon"": ""c000000""}",base,27-1,1,present,,183,1,
748,"{""icon"": ""c990099""}",base,27-0,0,absent,,183,0,
749,"{""icon"": ""ccccccc""}",base,27-N/A,N/A,Not Applicable,,183,3,
750,"{""icon"": ""cff66ff""}",base,27-?,?,Not known,,183,2,
751,"{""icon"": ""c000000""}",base,270-1,1,present,,184,1,
