pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
41,"{""icon"": ""ccccccc""}",base,108-N/A,N/A,Not Applicable,,11,3,
42,"{""icon"": ""cff66ff""}",base,108-?,?,Not known,,11,2,
43,"{""icon"": ""c000000""}",base,109-1,1,present,,12,1,
44,"{""icon"": ""c990099""}",base,109-0,0,absent,,12,0,
45,"{""icon"": ""ccccccc""}",base,109-N/A,N/A,Not Applicable,,12,3,
46,"{""icon"": ""cff66ff""}",base,109-?,?,Not known,,12,2,
47,"{""icon"": ""c000000""}",base,11-1,1,present,,13,1,
48,"{""icon"": ""c9999ff""}",base,11-0,0,absent,,13,0,
49,"{""icon"": ""cff4400""}",base,11-?,?,Not known,,13,2,
50,"{""icon"": ""c000000""}",base,110-1,1,present,,14,1,
51,"{""icon"": ""c990099""}",base,110-0,0,absent,,14,0,
52,"{""icon"": ""ccccccc""}",base,110-N/A,N/A,Not Applicable,,14,3,
53,"{""icon"": ""cff66ff""}",base,110-?,?,Not known,,14,2,
54,"{""icon"": ""c000000""}",base,111-1,1,present,,15,1,
55,"{""icon"": ""c990099""}",base,111-0,0,absent,,15,0,
56,"{""icon"": ""ccccccc""}",base,111-N/A,N/A,Not Applicable,,15,3,
57,"{""icon"": ""cff66ff""}",base,111-?,?,Not known,,15,2,
58,"{""icon"": ""c000000""}",base,112-1,1,present,,16,1,
59,"{""icon"": ""c990099""}",base,112-0,0,absent,,16,0,
60,"{""icon"": ""ccccccc""}",base,112-N/A,N/A,Not Applicable,,16,3,
61,"{""icon"": ""cff66ff""}",base,112-?,?,Not known,,16,2,
62,"{""icon"": ""c000000""}",base,113-1,1,present,,17,1,
63,"{""icon"": ""c990099""}",base,113-0,0,absent,,17,0,
64,"{""icon"": ""ccccccc""}",base,113-N/A,N/A,Not Applicable,,17,3,
65,"{""icon"": ""cff66ff""}",base,113-?,?,Not known,,17,2,
66,"{""icon"": ""c000000""}",base,114-1,1,present,,18,1,
67,"{""icon"": ""c990099""}",base,114-0,0,absent,,18,0,
68,"{""icon"": ""ccccccc""}",base,114-N/A,N/A,Not Applicable,,18,3,
69,"{""icon"": ""cff66ff""}",base,114-?,?,Not known,,18,2,
70,"{""icon"": ""c000000""}",base,115-1,1,present,,19,1,
71,"{""icon"": ""c990099""}",base,115-0,0,absent,,19,0,
72,"{""icon"": ""ccccccc""}",base,115-N/A,N/A,Not Applicable,,19,3,
