pk,jsondata,id,name,description,markup_description
42,"{""icon"": ""d990099""}",dizo1235,Dizoid,http://glottolog.org/resource/languoid/id/dizo1235,
43,"{""icon"": ""ddd0000""}",koma1264,Koman,http://glottolog.org/resource/languoid/id/koma1264,
44,"{""icon"": ""dffff00""}",more1255,Morehead-Wasur,http://glottolog.org/resource/languoid/id/more1255,
45,"{""icon"": ""dffffff""}",khoe1240,Khoe-Kwadi,http://glottolog.org/resource/languoid/id/khoe1240,
46,"{""icon"": ""d00ff00""}",anim1240,Anim,http://glottolog.org/resource/languoid/id/anim1240,
47,"{""icon"": ""d00ffff""}",toro1256,Tor-Orya,http://glottolog.org/resource/languoid/id/toro1256,
48,"{""icon"": ""dcccccc""}",inan1242,Inanwatan,http://glottolog.org/resource/languoid/id/inan1242,
49,"{""icon"": ""dff6600""}",skoo1245,Sko,http://glottolog.org/resource/languoid/id/skoo1245,
50,"{""icon"": ""c000000""}",east2386,Eastern Jebel,http://glottolog.org/resource/languoid/id/east2386,
51,"{""icon"": ""c0000ff""}",turk1311,Turkic,http://glottolog.org/resource/languoid/id/turk1311,
52,"{""icon"": ""c4d6cee""}",kiwa1251,Kiwaian,http://glottolog.org/resource/languoid/id/kiwa1251,
53,"{""icon"": ""c66ff33""}",nort2923,North Halmahera,http://glottolog.org/resource/languoid/id/nort2923,
54,"{""icon"": ""c9999ff""}",worr1236,Worrorran,http://glottolog.org/resource/languoid/id/worr1236,
55,"{""icon"": ""c99ffff""}",hata1242,Hatam-Mansim,http://glottolog.org/resource/languoid/id/hata1242,
56,"{""icon"": ""ca0fb75""}",heib1242,Heiban,http://glottolog.org/resource/languoid/id/heib1242,
57,"{""icon"": ""caa0000""}",anga1289,Angan,http://glottolog.org/resource/languoid/id/anga1289,
58,"{""icon"": ""ccb9a34""}",buna1274,Bunaban,http://glottolog.org/resource/languoid/id/buna1274,
59,"{""icon"": ""cd22257""}",lowe1437,Lower Sepik-Ramu,http://glottolog.org/resource/languoid/id/lowe1437,
60,"{""icon"": ""ce8e8e8""}",daga1274,Dagan,http://glottolog.org/resource/languoid/id/daga1274,
61,"{""icon"": ""ced9c07""}",katl1246,Katla-Tima,http://glottolog.org/resource/languoid/id/katl1246,
62,"{""icon"": ""cefe305""}",nakh1245,Nakh-Daghestanian,http://glottolog.org/resource/languoid/id/nakh1245,
63,"{""icon"": ""cf38847""}",barb1265,Barbacoan,http://glottolog.org/resource/languoid/id/barb1265,
64,"{""icon"": ""cf3ffb0""}",maoo1243,Mao,http://glottolog.org/resource/languoid/id/maoo1243,
65,"{""icon"": ""cfe3856""}",sino1245,Sino-Tibetan,http://glottolog.org/resource/languoid/id/sino1245,
66,"{""icon"": ""cff0000""}",bosa1245,Bosavi,http://glottolog.org/resource/languoid/id/bosa1245,
67,"{""icon"": ""cff00ff""}",nyul1248,Nyulnyulan,http://glottolog.org/resource/languoid/id/nyul1248,
68,"{""icon"": ""cff4400""}",gong1255,Ta-Ne-Omotic,http://glottolog.org/resource/languoid/id/gong1255,
