pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
11,"{""gbs"": {}}",base,evanbaaldema,van Baal 1966,Dema: description and analysis of Marind-Anim culture (South New Guinea),,,,book,"van Baal, Jan",1966,Dema: description and analysis of Marind-Anim culture (South New Guinea),,,,988,,,,The Hague,,,,,9,The Hague: Martinus Nijhoff,,,,,,
12,"{""gbs"": {}}",base,getheringtonnggem,Etherington 2002,Nggem Morphology and Syntax,,,,mastersthesis,"Etherington, Paul Anthony",2002,Nggem Morphology and Syntax,,,,231,,,Darwin: Northern Territory University,,,,,,,,,,,,,
13,"{""gbs"": {}}",base,gmcelhanonselepetfinisterrehuon,McElhanon 1970,The Selepet language within the Finisterre-Huon phylum (New Guinea),,,,phdthesis,"McElhanon, Kenneth A.",1970,The Selepet language within the Finisterre-Huon phylum (New Guinea),,,,487,,,University of Canberra,Canberra,,,,,,Canberra: Australian National University,,,,,,
14,"{""gbs"": {}}",base,smcelhanonselepet,McElhanon 1972,Selepet Grammar: Part I: From Root to Phrase,,,,book,"McElhanon, Kenneth A.",1972,Selepet Grammar: Part I: From Root to Phrase,,,,122,,,,Canberra,,,,Pacific Linguistics: Series B,21,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
15,"{""gbs"": {}}",base,phonhealeytelefol,Healey 1964,Telefol phonology,,,,book,"Healey, Alan",1964,Telefol phonology,,,,53,,,,Canberra,,,,Pacific linguistics: Series B,3,"Canberra: Linguistics, Dept. of Anthropology and Sociology, Australian National University",,,,,,
16,"{""gbs"": {}}",base,typhealeytelefolnoun,Healey 1965,Telefol noun phrases,,,,book,"Healey, Phyllis M.",1965,Telefol noun phrases,,,,iii+51,,,,,,,,Linguistic Circle of Canberra Publications: Series B,4,Canberra: Australian National Univ.,,,,,,
17,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 406, ""previewLink"": ""http://books.google.de/books?id=1d5nugAACAAJ&dq=inauthor:Healey,+Phyllis+M.+intitle:Levels,+constituent+strings+and+agreement+in+Telefol+syntax&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1965"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:222154685"", ""type"": ""OTHER""}], ""authors"": [""Phyllis M. Healey""], ""title"": ""Levels, Constituent Strings and Agreement in Telefol Syntax"", ""infoLink"": ""http://books.google.de/books?id=1d5nugAACAAJ&dq=inauthor:Healey,+Phyllis+M.+intitle:Levels,+constituent+strings+and+agreement+in+Telefol+syntax&hl=&source=gbs_api"", ""categories"": [""Telefol language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Levels_Constituent_Strings_and_Agreement.html?hl=&id=1d5nugAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""GKzbaK0fypQ"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=1d5nugAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""1d5nugAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/1d5nugAACAAJ""}}",base,ghealeytelefol,Healey 1966,"Levels, constituent strings and agreement in Telefol syntax",,,1d5nugAACAAJ,phdthesis,"Healey, Phyllis M.",1966,"Levels, constituent strings and agreement in Telefol syntax",,,,235,,,Australian National University,,,"Published as Levels and chaining in Telefol syntax, Pacific Linguistics B-5.",,,,,,,,,,
18,"{""gbs"": {}}",base,dhealeyhealeytelefol,Healey and Healey 1977,Telefol dictionary,,,,book,"Healey, Phyllis M. and Healey, Alan",1977,Telefol dictionary,,,,xvii+358,,,,Canberra,,,,Pacific Linguistics C,46,Canberra: Australian National University,,,,,,
19,"{""gbs"": {}}",base,typhealeytelefolverb,Healey 1974,A problem of Telefol verb classification,,,,incollection,"Healey, Alan",1974,A problem of Telefol verb classification,,Studies in languages of the Ok family,"Loving, Richard",167-175,,,,Ukarumpa,http://www.sil.org/pacific/png/abstract.asp?id=11058,,,Workpapers in Papua New Guinea Languages,7,Ukarumpa: Summer Institute of Linguistics,,,,,,
20,"{""gbs"": {}}",base,glouwerseuna,Louwerse 1988,The Morphosyntax of Una in Relation to Discourse Structure,,,,book,"Louwerse, John",1988,The Morphosyntax of Una in Relation to Discourse Structure,,,,ix+211,,,,,,,,Pacific Linguistics: Series B,100,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
21,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""publisher"": ""Stanford University Press"", ""description"": ""A \""study of the Yimas language, its grammar and lexicon, the social and cultural contexts of the use of the language, its history and genetic relations, and its interactions with neighbouring languages.\"" -- Pref."", ""language"": ""en"", ""publishedDate"": ""1991"", ""imageLinks"": {""smallThumbnail"": ""http://bks9.books.google.de/books?id=5TCsAAAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://bks9.books.google.de/books?id=5TCsAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=5TCsAAAAIAAJ&printsec=frontcover&dq=inauthor:Foley,+William+intitle:The+Yimas+Language+of+New+Guinea+inpublisher:Stanford:+Stanford+University+Press&hl=&cd=1&source=gbs_api"", ""title"": ""The Yimas Language of New Guinea"", ""printType"": ""BOOK"", ""pageCount"": 490, ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""0804715823"", ""type"": ""ISBN_10""}, {""identifier"": ""9780804715829"", ""type"": ""ISBN_13""}], ""authors"": [""William A. Foley""], ""infoLink"": ""http://books.google.de/books?id=5TCsAAAAIAAJ&dq=inauthor:Foley,+William+intitle:The+Yimas+Language+of+New+Guinea+inpublisher:Stanford:+Stanford+University+Press&hl=&source=gbs_api"", ""categories"": [""Foreign Language Study""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Yimas_Language_of_New_Guinea.html?hl=&id=5TCsAAAAIAAJ""}, ""searchInfo"": {""textSnippet"": ""A &quot;study of the Yimas language, its grammar and lexicon, the social and cultural contexts of the use of the language, its history and genetic relations, and its interactions with neighbouring languages.&quot; -- Pref.""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""uT1z9xDSMd4"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=5TCsAAAAIAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": true, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""PARTIAL"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""SAMPLE""}, ""id"": ""5TCsAAAAIAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/5TCsAAAAIAAJ""}}",base,gfoleyyimas,Foley 1991,The Yimas Language of New Guinea,,,5TCsAAAAIAAJ,book,"Foley, William",1991,The Yimas Language of New Guinea,,,,xvi+490,,,,Stanford,,,,,,Stanford: Stanford University Press,,,,,,
22,"{""gbs"": {}}",base,gwhiteheadmenya,Whitehead 2004,"A Reference Grammar of Menya, an Angan Language of Papua New Guinea",,,,phdthesis,"Whitehead, Carl R.",2004,"A Reference Grammar of Menya, an Angan Language of Papua New Guinea",,,,ix+265,,,University of Manitoba,Ann Arbor,http://www.sil.org/pacific/png/abstract.asp?id=44419,,,,,,,,,,,
23,"{""gbs"": {}}",base,gevensenumanakaina,Evensen 1996,"Umanakaina grammar, from morpheme to discourse",,,,misc,"Evensen, Sigmund",1996,"Umanakaina grammar, from morpheme to discourse",,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
24,"{""gbs"": {}}",base,greesinkusan,Reesink 1987,Structures and their Functions in Usan: A Papuan Language of Papua New Guinea,,,,book,"Reesink, Ger P.",1987,Structures and their Functions in Usan: A Papuan Language of Papua New Guinea,,,,368,,,,,,,,Studies in Language: Companion Series,13,Amsterdam: John Benjamins,,,,,,
25,"{""gbs"": {}}",base,gfarrkorafe,Farr 1999,The interface between syntax and discourse in Korafe: a Papuan language of Papua New Guinea,,,,book,"Farr, Cynthia J. M.",1999,The interface between syntax and discourse in Korafe: a Papuan language of Papua New Guinea,,,,xx+459,,,,Canberra,,,,Pacific Linguistics: Series C,148,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
26,"{""gbs"": {}}",base,gfabianfabianwatersnabak,Fabian et al. 1998,"Morphology, Syntax and Cohesion in Nabak, Papua New Guinea",,,,book,"Fabian, Grace and Fabian, Edmund and Waters, Bruce",1998,"Morphology, Syntax and Cohesion in Nabak, Papua New Guinea",,,,x+490,,,,Canberra,,,,Pacific Linguistics: Series C,144,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
27,"{""gbs"": {}}",base,gterrilllavukaleve,Terrill 2003,A Grammar of Lavukaleve,,,,book,"Terrill, Angela",2003,A Grammar of Lavukaleve,,,,xxiii+562,,,,,,,,Mouton Grammar Library,30,Berlin: Mouton de Gruyter,,,,,,
28,"{""gbs"": {}}",base,gmacdonaldtauya,MacDonald 1990,A Grammar of Tauya,,,,book,"MacDonald, Lorna",1990,A Grammar of Tauya,,,,xiii+385,,,,Berlin,,,,Mouton Grammar Library,6,Berlin: Mouton de Gruyter,,,,,,
29,"{""gbs"": {}}",base,gkratochvilabui,Kratochvíl 2007,A Grammar of Abui: A Papuan Language of Alor,,,,phdthesis,"Kratochvíl, František",2007,A Grammar of Abui: A Papuan Language of Alor,,,,563,,,Rijksuniversiteit te Leiden,Utrecht,\url{http://www.lotpublications.nl/publish/articles/002298/bookpart.pdf},,,LOT Dissertation Series,157,,,,,,,
30,"{""gbs"": {}}",base,glockabau1999,Lock 1999,Abau Grammar sketch,,,,misc,"Lock, Arjen",1999,Abau Grammar sketch,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
31,"{""gbs"": {}}",base,gbrucealamblak,Bruce 1984,The Alamblak Language of Papua New Guinea (East Sepik),,,,book,"Bruce, Les",1984,The Alamblak Language of Papua New Guinea (East Sepik),,,,iv+361,,,,,,,,Pacific Linguistics: Series C,81,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
32,"{""gbs"": {}}",base,ebrucealamblak,Bruce 1974,Alamblak kinsmen: To give is better than to receive (and you'll get it back),,,,incollection,"Bruce, Leslie P.",1974,Alamblak kinsmen: To give is better than to receive (and you'll get it back),,Kinship studies in Papua New Guinea,"Shaw, R. Daniel",169-186,,,,,,,,,,Ukarumpa: Summer Institute of Linguistics,,,,,,
33,"{""gbs"": {}}",base,sboeveboevearammba,Boevé and Boevé 2003,Arammba grammar essentials,,,,misc,"Boevé, Alma and Boevé, Marco",2003,Arammba grammar essentials,,,,110,,,,,,,,,,,,,Ms.,,,
34,"{""gbs"": {}}",base,gconradwogigabukiyip,Conrad and Wogiga 1991,An Outline of Bukiyip Grammar,,,,book,"Conrad, Robert J. and Wogiga, Kepas",1991,An Outline of Bukiyip Grammar,,,,x+297,,,,,,,,Pacific Linguistics: Series C,113,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
35,"{""gbs"": {}}",base,greesinkhatam,Reesink 1999,A Grammar of Hatam: Bird's Head Peninsula Irian Jaya,,,,book,"Reesink, Ger P.",1999,A Grammar of Hatam: Bird's Head Peninsula Irian Jaya,,,,xv+215,,,,,,,,Pacific Linguistics: Series C,146,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
36,"{""gbs"": {}}",base,ssanderssanderskamasau,Sanders and Sanders 1994,Kamasau (Wand Tuan) Grammar: Morpheme to Discourse,,,,misc,"Sanders, Arden G. and Sanders, Joy",1994,Kamasau (Wand Tuan) Grammar: Morpheme to Discourse,,,,108,,,,,,\url{http://www.sil.org/pacific/png/abstract.asp?id=47683},,,,,,,Unpublished document,,,
37,"{""gbs"": {}}",base,phonsanderssanderskamasau,Sanders and Sanders 1980,Phonology of the Kamasau language,,,,article,"Sanders, Arden G. and Sanders, Joy",1980,Phonology of the Kamasau language,,,,111-135,,Pacific Linguistics A,,,,,,,56,Canberra,,,,,,
38,"{""gbs"": {}}",base,glindstromkuot,Lindström 2002,Topics in the Grammar of Kuot,,,,phdthesis,"Lindström, Eva",2002,Topics in the Grammar of Kuot,,,,265,,,Stockholm University,,,,,,,,,,,,,
39,"{""gbs"": {}}",base,gstebbinsmali,Stebbins 2011,Mali (Baining) grammar,,,,book,"Stebbins, Tonya N.",2011,Mali (Baining) grammar,,,,437,,,,,,,,Pacific Linguistics,623,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
40,"{""gbs"": {}}",base,gdesousamenggwadla,de Sousa 2006,The Menggwa Dla language of New Guinea,,,,phdthesis,"de Sousa, Hilário",2006,The Menggwa Dla language of New Guinea,,,,xiv+555,,,University of Sydney,,,,,,,,,,,,,
41,"{""gbs"": {}}",base,ggravellemeyah2004,Gravelle 2004,The Meyah Language of Papua,,,,phdthesis,"Gravelle, Gilles",2004,The Meyah Language of Papua,,,,457,,,Amsterdam: Vrije Universiteit,,,,,,,,,,,,,
42,"{""gbs"": {}}",base,phonfieldsorya,Fields 1991,A Phonology of the Orya Language,,,,incollection,"Fields, Philip C.",1991,A Phonology of the Orya Language,,Papers in Papuan Linguistics 1,"Dutton, Tom E.",29-56,,,,Canberra,,,,Pacific Linguistics: Series A,73,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
43,"{""gbs"": {}}",base,sfieldsorya,Fields 1997,Pivot and nominalisation in Orya,,,,incollection,"Fields, Phillip C.",1997,Pivot and nominalisation in Orya,,Papers in Papuan linguistics No. 2,"Franklin, Karl J.",237-269,,,,Canberra,,,,Pacific Linguistics: Series A,85,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
44,"{""gbs"": {}}",base,gholtontobelo,Holton 2003,Tobelo,,,,book,"Holton, Gary",2003,Tobelo,,,,99,,,,,,,,Languages of the World/Materials,328,München: Lincom,,,,,,
45,"{""gbs"": {}}",base,shoeletalmende,Hoel et al. 1994,Mende Grammar Essentials,,,,book,"Hoel, Hanna Marie and Ikäheimonen, Tarja and Nozawa, Michiyo",1994,Mende Grammar Essentials,,,,129,,,,"Ukarumpa, Papua New Guinea",,,,,,"Ukarumpa, Papua New Guinea: Unpublished Typescript, The Summer Institute of Linguistics",,,,,,
46,"{""gbs"": {}}",base,gevansbininjgunwok,Evans 2003,"Bininj Gun-Wok: A Pan-dialectal Grammar of Mayali, Kunwinjku and Kune",,,,book,"Evans, Nicholas",2003,"Bininj Gun-Wok: A Pan-dialectal Grammar of Mayali, Kunwinjku and Kune",,,,782,,,,,,2 vols.,,Pacific Linguistics,541,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
47,"{""gbs"": {}}",base,gwilkinsondjambarrpuyngu,Wilkinson 1991,"Djambarrpuyngu, a Yolngu variety of northern Australia",,,,phdthesis,"Wilkinson, Melanie P.",1991,"Djambarrpuyngu, a Yolngu variety of northern Australia",,,,xxiii+727,,,Sydney: University of Sydney,,,,,,,,,,,,,
48,"{""gbs"": {}}",base,hvbreenwanyigarrwa,Breen 2003,Wanyi and Garrwa Comparative Data,,,,incollection,"Breen, Gavan",2003,Wanyi and Garrwa Comparative Data,,The non-Pama-Nyungan languages of northern Australia: Comparative Studies of the continent's most linguistically complex region,"Evans, Nicholas",425-462,,,,,,,,Pacific Linguistics,552,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
49,"{""gbs"": {}}",base,sfurbyfurbygarawa,Furby and Furby 1977,A preliminary analysis of Garawa phrases and clauses,,,,book,"Furby, Edward S. and Furby, Christine E.",1977,A preliminary analysis of Garawa phrases and clauses,,,,viii+101,,,,,,,,Pacific Linguistics: Series B,42,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
50,"{""gbs"": {}}",base,gmcgregorgooniyandi,McGregor 1990,A Functional Grammar of Gooniyandi,,,,book,"McGregor, William",1990,A Functional Grammar of Gooniyandi,,,,618,,,,,,"Publication of 1984 A grammar of Kuniyanti: An Australian Aboriginal language of the Southern Kimberley, Western Australia, PhD U Sydney.",,Studies in Language: Companion Series,22,Amsterdam: John Benjamins,,,,,,
51,"{""gbs"": {}}",base,skennedykalalagawya,Kennedy 1985,Clauses in Kala Lagaw Ya,,,,incollection,"Kennedy, Rodney J.",1985,Clauses in Kala Lagaw Ya,,Aboriginal and Islander grammars: Collected papers,"Ray, Sandra K.",59-79,,,,Darwin,,,,,,Darwin: Summer Institute of Linguistics,,,,,,
52,"{""gbs"": {}}",base,sfordoberkalawkawawya,Ford and Ober 1991,A sketch of Kalaw Kawaw Ya,,,,incollection,"Ford, Kevin and Ober, Dana",1991,A sketch of Kalaw Kawaw Ya,,Language in Australia,"Romaine, Suzanne",118-142,,,,,,,,,,Cambridge University Press,,,,,,
53,"{""gbs"": {}}",base,gevanskayardild,Evans 1995,A Grammar of Kayardild: With Historical-Comparative Notes on Tangkic,,,,book,"Evans, Nicholas D.",1995,A Grammar of Kayardild: With Historical-Comparative Notes on Tangkic,,,,xxiv+837,,,,,,,,Mouton Grammar Library,15,Berlin: Mouton de Gruyter,,,,,,
54,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 1294, ""previewLink"": ""http://books.google.de/books?id=uPwKNQAACAAJ&dq=inauthor:Gaby,+Alice+Rose+intitle:A+Grammar+of+Kuuk+Thaayorre&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2006"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:224996963"", ""type"": ""OTHER""}], ""authors"": [""Alice Rose Gaby""], ""title"": ""A Grammar of Kuuk Thaayorre"", ""infoLink"": ""http://books.google.de/books?id=uPwKNQAACAAJ&dq=inauthor:Gaby,+Alice+Rose+intitle:A+Grammar+of+Kuuk+Thaayorre&hl=&source=gbs_api"", ""categories"": [""Aboriginal Australians""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Kuuk_Thaayorre.html?hl=&id=uPwKNQAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""nSo6vPoaZXs"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=uPwKNQAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""uPwKNQAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/uPwKNQAACAAJ""}}",base,ggabythaayorre,Gaby 2006,A Grammar of Kuuk Thaayorre,,,uPwKNQAACAAJ,phdthesis,"Gaby, Alice Rose",2006,A Grammar of Kuuk Thaayorre,,,,xx+649,,,Melbourne: University of Melbourne,Melbourne,\url{http://eprints.infodiv.unimelb.edu.au/archive/00002486/01/KTh_Grammar_241006.pdf},,,,,,,,,,,
55,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""Productive and Lexicalised Uses of Agreement in an Australian Language"", ""language"": ""en"", ""pageCount"": 702, ""previewLink"": ""http://books.google.de/books?id=-2prNQAACAAJ&dq=inauthor:Singer,+Ruth+intitle:Agreement+in+Mawng:+Productive+and+lexicalised+uses+of+agreement+in+an+Australian+language&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2006"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:225594667"", ""type"": ""OTHER""}], ""authors"": [""Ruth Singer""], ""title"": ""Agreement in Mawng"", ""infoLink"": ""http://books.google.de/books?id=-2prNQAACAAJ&dq=inauthor:Singer,+Ruth+intitle:Agreement+in+Mawng:+Productive+and+lexicalised+uses+of+agreement+in+an+Australian+language&hl=&source=gbs_api"", ""categories"": [""Aboriginal Australians""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Agreement_in_Mawng.html?hl=&id=-2prNQAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""cDeEnZfcrDY"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=-2prNQAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""-2prNQAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/-2prNQAACAAJ""}}",base,gsingermawng,Singer 2006,Agreement in Mawng: Productive and lexicalised uses of agreement in an Australian language,,,-2prNQAACAAJ,phdthesis,"Singer, Ruth",2006,Agreement in Mawng: Productive and lexicalised uses of agreement in an Australian language,,,,xi+351,,,University of Melbourne,,,,,,,,,,,,,
56,"{""gbs"": {}}",base,gwalshmurinypata,Walsh 1976,The Murinypata Language of North-West Australia,,,,phdthesis,"Walsh, Michael J.",1976,The Murinypata Language of North-West Australia,,,,442,,,Canberra: Australian National University,,,,,,,,,,,,,
57,"{""gbs"": {}}",base,sstreetmurrinhpatha,Street 1987,An introduction to the language and culture of the Murrinh-Patha,,,,book,"Street, Chester S.",1987,An introduction to the language and culture of the Murrinh-Patha,,,,117,,,,,,,,,,"Darwin: Summer Institute of Linguistics, Australian Aborigines Branch",,,,,,
58,"{""gbs"": {}}",base,gleetiwi,Lee 1987,Tiwi Today: A Study of Language Change in a Contact Situation,,,,book,"Lee, Jennifer",1987,Tiwi Today: A Study of Language Change in a Contact Situation,,,,vii+449,,,,,,,,Pacific Linguistics: Series C,96,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
59,"{""gbs"": {}}",base,dleetiwi,Lee 1993,Ngawurranungurumagi nginingawila ngapangiraga: Tiwi-English dictionary,,,,book,"Lee, Jennifer",1993,Ngawurranungurumagi nginingawila ngapangiraga: Tiwi-English dictionary,,,,389,,,,Darwin,,,,,,Darwin: Summer Institute of Linguistics,,,,,,
60,"{""gbs"": {}}",base,gosbornetiwi,Osborne 1974,The Tiwi Language,,,,book,"Osborne, Charles R.",1974,The Tiwi Language,,,,170,,,,Canberra,,"Publication of Osbourne, Charles Roland 1970 A grammar of the Tiwi language of North Australia, PhD University of London.",,"Australian Aboriginal Studies 55, Linguistic Series 21",,Canberra: Australian Institute of Aboriginal Studies,,,,,,
61,"{""gbs"": {}}",base,grumseyungarinjin,Rumsey 1982,"An intra-sentence grammar of Ungarinjin, north-western Australia",,,,book,"Rumsey, Alan",1982,"An intra-sentence grammar of Ungarinjin, north-western Australia",,,,xii+198,,,,,,,,Pacific Linguistics: Series B,86,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
