pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
1,"{""gbs"": {}}",base,gdonohuesanroqueisaka,Donohue and San Roque 2004,I'saka: a sketch grammar of a language of north-central New Guinea,,,,book,"Donohue, Mark and San Roque, Lila",2004,I'saka: a sketch grammar of a language of north-central New Guinea,,,,xvii+131,,,,Canberra,,,,Pacific Linguistics,554,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
2,"{""gbs"": {}}",base,gfranklinkewa,Franklin 1971,"A grammar of Kewa, New Guinea",,,,book,"Franklin, Karl J.",1971,"A grammar of Kewa, New Guinea",,,,ix+138,,,,Canberra,,,,Pacific Linguistics: Series C,16,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
3,"{""gbs"": {}}",base,dfranklinkewa,Franklin and Franklin 1978,A Kewa dictionary: with supplementary grammatical and anthropological materials,,,,book,"Franklin, Karl James and Franklin, Joice",1978,A Kewa dictionary: with supplementary grammatical and anthropological materials,,,,xi+514,,,,Canberra,,,,Pacific linguistics: Series C,53,"Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National Univ.",,,,,,
4,"{""gbs"": {}}",base,grenckyagaria,Renck 1975,A Grammar of Yagaria,,,,book,"Renck, Günther L.",1975,A Grammar of Yagaria,,,,235,,,,,,,,Pacific Linguistics: Series B,40,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
5,"{""gbs"": {}}",base,sdevriesinanwatan,de Vries 2004,"A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia",,,,book,"de Vries, Lourens J.",2004,"A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia",,,,xii+156,,,,Canberra,,,,Pacific Linguistics,560,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
6,"{""gbs"": {}}",base,gbairdklon,Baird 2008,"A grammar of Klon: a non-Austronesian language of Alor, Indonesia",,,,book,"Baird, Louise",2008,"A grammar of Klon: a non-Austronesian language of Alor, Indonesia",,,,xv+242,,,,Canberra,,,,Pacific Linguistics,596,"Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University",,,,,,
7,"{""gbs"": {}}",base,gdavieskobon1989,Davies 1989,Kobon,,,,book,"Davies, John",1989,Kobon,,,,,,,,London,,,,Croom Helm Descriptive Grammars,,London: Routledge,,,,,,
8,"{""gbs"": {}}",base,sdduttonkoiari,Dutton 2003,"A Dictionary of Koiari, Papua New Guinea: with grammar notes",,,,book,"Dutton, Tom",2003,"A Dictionary of Koiari, Papua New Guinea: with grammar notes",,,,xxvi+424,,,,,,,,Pacific Linguistics,534,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
9,"{""gbs"": {}}",base,gdevriesvanenkkorowai,de Vries and van Enk 1997,The Korowai of Irian Jaya: Their Language and its Cultural Context,,,,book,"de Vries, Lourens and van Enk, Gerrit J.",1997,The Korowai of Irian Jaya: Their Language and its Cultural Context,,,,xi+321,,,,,,,,Oxford Studies in Anthropological Linguistics,9,Oxford University Press,,,,,,
10,"{""gbs"": {}}",base,gdrabbemarind,Drabbe 1955,Spraakkunst van het Marind: Zuidkust Nederlands Nieuw-Guinea,,,,book,"Drabbe, Peter",1955,Spraakkunst van het Marind: Zuidkust Nederlands Nieuw-Guinea,,,,189,,,,,,,,Studia Instituti Anthropos,11,Wien-Mödling: Drukkerij van het Missiehuis St. Gabriël,,,,,,
