ID,Name,Domain,Link,Citation
alexandravydrina,Alexandra Vydrina,Kakabe [kke],,LLACAN
aminamettouchi,Amina Mettouchi,Kabyle [kab],,LLACAN
annamariediagne,Anna Marie Diagne,Soninke [snk],,Cheikh Diop Uni in Dakar
dariamishchenko,Daria Mishchenko,Loma (Liberia) [lom],,LLACAN
deniscreissels,Denis Creissels,Mandinka [mnk],,Uni Lyon
dorispayne,Doris Payne,,,Univeristy of Oregon
dorisrichter,Doris Richter,Tigon Mbembe [nza],,Cologne/Radboud
elenaperekhvalskaya,"Elena Perekhvalskaya,",Mwan [moa],,LLACAN
felixameka,Felix Ameka,Ewe [ewe],,Leiden
francescadigarbo,Francesca di Garbo,Gender Systems,http://su.diva-portal.org/smash/get/diva2:738318/FULLTEXT02.pdf,"Di Garbo, Francesca. (2014) Gender and its interaction with number and evaluative morphology: An intra- and intergenealogical typological survey of Africa. Stockholm University doctoral dissertation."
frankseidel,Frank Seidel,Yeyi [yey],,Florida
gerreesink,Ger Reesink,Many,http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000241,"Reesink, Ger, Ruth Singer & Michael Dunn. (2009) Explaining the Linguistic Diversity of Sahul Using Population Models.  PLoS Biology 7(11). 1-9."
guillaumesegerer,Guillaume Segerer,Bidyogo [bjg],,LLACAN
hedvigskirgard,Hedvig Skirgård,Many,TODO,TODO
jasperdekind,Jasper de Kind,,,Ghent
jeanleopolddiouf,Jean-Leopold Diouf,"Gambian Wolof [wof], Wolof [wol]",,Dakar
maartenkossmann,Maarten Kossmann,Tayart Tamajeq [thz],,Leiden
maartenmous,Maarten Mous,iraqw; mbugu,,Leiden
mariakhachaturyan,Maria Khachaturyan,Mann [mev],,LLACAN
mariakonoshenko,Maria Konoshenko,Guinea Kpelle [gkp],,St. Petersburg State University
markdingemanse,Mark Dingemanse,Siwu [akp],,
martinevanhove,Martine Vanhove,Beja [bej],,LLACAN
olgakuznetsova,Olga Kuznetsova,Guro [goa],,"St petersburg, Russian academy of Sciences"
pauletteroulondoko,Paulette Roulon-Doko,Northwest Gbaya [gya],,LLACAN
rebeccadefina,Rebecca Defina,Avatime [avn],,
ronaldschaefer,Ronald Schaefer,Emai-Iuleha-Ora [ema],,Southern Illinois University Edwardsville
saskiavanputten,Saskia van Putten,Avatime [avn],,MPI NIjmegen
sergesagna,Serge Sagna,Bandial [bqj],,University of Surrey
stephanerobert,Stéphane Robert,"Wolof [wol], Gambian Wolof [wof]",,LLACAN
tatiananikitina,Tatiana Nikitina,Wan [wan],,LLACAN
tomguldemann,Tom Güldemann,,,Berlin-Humboldt
tomguldemann-1,Tom Güldemann,"""khoisan""",,Humboldt-Berlin
valentinvydrine,Valentin Vydrin(e),,,LLACAN
verawilhemsen,Vera Wilhemsen,Mbugwe [mgz],,
viktoriaapel,Viktoria Apel,Pular [fuf],,Humboldt-Berlin
yvonneagbetsoamedo,Yvonne Agbetsoamedo,Selee [snw],,Stockholms uni
