ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Representation,Source_ID
aue,=/Kx'au//'ein,Africa,-21.0554,21.1793,kxau1241,aue,Kxa,115,
aau,Abau,Papunesia,-3.97222,141.324,abau1245,aau,Sepik,144,glockabau1999
abz,Abui,Papunesia,-8.31058,124.588,abui1241,abz,Timor-Alor-Pantar,157,gkratochvilabui
aca,Achagua,South America,4.38649,-72.2005,acha1250,aca,Arawakan,159,gwilsonachagua
adz,Adzera,Papunesia,-6.39394,146.294,adze1240,adz,Austronesian,147,
aio,Aiton,Eurasia,26.5145,92.3169,aito1238,aio,Tai-Kadai,139,hvsmoreytai2002
akj,Aka-Jeru,Eurasia,13.1525,92.9504,akaj1239,akj,Great Andamanese,150,gabbigreatandamanese
aka,Akan,Africa,6.34756,-1.33254,akan1250,aka,Atlantic-Congo,133,goforiakan;gosamakan;ldosamanimacyakan
wbj,Alagwa,Africa,-4.64148,35.7231,alag1248,wbj,Afro-Asiatic,231,
amp,Alamblak,Papunesia,-4.66307,143.316,alam1246,amp,Sepik,160,ebrucealamblak;gbrucealamblak
abt,Ambulas,Papunesia,-3.7801,143.059,ambu1247,abt,Ndu,148,gwilsonambulas
amh,Amharic,Africa,11.7082,39.5435,amha1245,amh,Afro-Asiatic,213,
anz,Anem,Papunesia,-5.54836,148.993,anem1249,anz,,152,
aoi,Anindilyakwa,Australia,-13.999,136.641,anin1240,aoi,Gunwinyguan,156,
anu,Anywa,Africa,7.57714,34.0267,anua1242,anu,Nilotic,105,grehanywa
NOCODE_Apolista,Apolista,South America,-14.83,-68.66,apol1242,,Arawakan,26,
apu,Apurinã,South America,-8.21692,-66.7714,apur1254,apu,Arawakan,159,
stk,Arammba,Papunesia,-8.29593,141.445,aram1253,stk,Morehead-Wasur,151,sboeveboevearammba
aia,Arosi,Papunesia,-10.2441,161.432,aros1241,aia,Austronesian,88,
cni,Asháninka,South America,-11.9311,-73.9073,asha1243,cni,Arawakan,145,
amz,Atampaya,Australia,-11.0018,142.273,atam1239,amz,Pama-Nyungan,145,
avn,Avatime,Africa,6.8688,0.41314,avat1244,avn,Atlantic-Congo,236,gfordavatime;hkroppdakubucentraltogo;typschuhavatime;typvanputtenavatime
nfl,Ayiwo,Papunesia,-10.2302,166.21,ayiw1239,nfl,Austronesian,86,hvrossnaesstemotu
bkc,Baka (Cameroon),Africa,2.16013,13.7804,baka1272,bkc,Atlantic-Congo,270,dbrissonboursierbaka;espaulinbakatransformations;gkilianhatzbaka;sdjoupeebaka;sleonardbaka
bam,Bambara,Africa,12.0401,-9.98949,bamb1269,bam,Mande,198,gdumestrebambara2003;gdumestrebambaramali;gfofanatraorebamanakan
baw,Bambili-Bambui,Africa,6.10821,10.2233,bamb1266,baw,Atlantic-Congo,93,gayuninjammbili
bdy,Bandjalang,Australia,-28.3458,152.859,band1339,bdy,Pama-Nyungan,155,gtsharpeyugambehbandjalung;scrowleybandjalang
dba,Bangime,Africa,14.8116,-3.77092,bang1363,dba,,242,
bwi,Baniwa,South America,2.17859,-67.7704,bani1255,bwi,Arawakan,131,hvtypconstenlaintermedia
bqj,Banjal,Africa,12.5258,-16.4245,band1340,bqj,Atlantic-Congo,111,gsagnabanjal
bcm,Bannoni,Papunesia,-6.23061,155.128,bann1247,bcm,Austronesian,125,slynchrossbanoni
bva,Barain,Africa,11.1168,18.0764,bare1279,bva,Afro-Asiatic,231,glovestrandbarain
brm,Barambu,Africa,3.34642,26.861,bara1361,brm,Atlantic-Congo,263,hldtuckerbryannonbantuneafrica;hstuckerhackettzande;ssantandreabandazande
bcj,Bardi,Australia,-16.6274,122.906,bard1255,bcj,Nyulnyulan,156,gbowernbardi2004
bae,Baré,South America,1.91649,-66.828,bare1276,bae,Arawakan,156,
btx,Batak Karo,Papunesia,2.12787,98.2517,bata1293,btx,Austronesian,160,
brg,Baure,South America,-13.1278,-64.1838,baur1253,brg,Arawakan,160,
bvz,Bauzi,Papunesia,-2.44717,137.629,bauz1241,bvz,Geelvink Bay,148,gbrileybauzi
bda,Bayot,Africa,12.6881,-16.3947,bayo1255,bda,Atlantic-Congo,112,gdiagnebayot
bej,Beja,Africa,17.2436,36.6666,beja1238,bej,Afro-Asiatic,219,gwedekindetalbeja
bxb,Belanda Bor,Africa,6.6503,27.8232,bela1256,bxb,Nilotic,146,gvonheykingbelandaboor
bez,Bena (Tanzania),Africa,-9.26671,35.0364,bena1262,bez,Atlantic-Congo,177,gmorrisonbena;vtypbernanderbena
